Sampling_week,Treatment,Mesocosm,BLOCK,sum_det_mass_mg,sum_pred_mass_mg,Ladybirds,Prochloraz_soil_ng_g,Azoxystrobin_soil_ng_g,Cypermethrin_soil_ng_g,AZO_0.5,PCZ_0.5,CYP_0.5,Wingless_Aphis_Fabae
W4,Cy.X.Pr,Meso_43,3,32.59784781,9.062679156,1,NA,NA,NA,0,1,1,1
W4,Cy.X.Pr,Meso_44,4,8.435792852,2.340499788,0,NA,NA,NA,0,1,1,2100
W4,Cy.X.Pr,Meso_46,1,13.04296722,56.69953633,0,NA,NA,NA,0,1,1,50
W4,Cy.X.Pr,Meso_57,2,630.6114108,17.56040252,0,NA,NA,NA,0,1,1,750
W4,Pr.,Meso_14,4,16.89653997,11.42841553,1,NA,NA,NA,0,1,0,1
W4,Pr.,Meso_27,2,9.516163039,25.70977982,3,NA,NA,NA,0,1,0,0
W4,Pr.,Meso_33,3,14.58326339,41.59447654,24,NA,NA,NA,0,1,0,1700
W4,Pr.,Meso_41,1,32.6117847,13.77417484,2,NA,NA,NA,0,1,0,1900
W4,Pr.,Meso_55,5,14.97513622,1.771889052,0,NA,NA,NA,0,1,0,2800
W4,Pr.X.Az,Meso_11,1,173.1291124,22.7638594,8,NA,NA,NA,1,1,0,1500
W4,Pr.X.Az,Meso_52,2,16.41105734,68.07563145,15,NA,NA,NA,1,1,0,540
W4,Pr.X.Az,Meso_54,4,23.36559242,6.953120033,0,NA,NA,NA,1,1,0,2300
W4,Pr.X.Az,Meso_58,3,24.02281587,127.6470111,38,NA,NA,NA,1,1,0,225
W4,Pr.X.Az,Meso_60,5,24.42466525,6.146162042,0,NA,NA,NA,1,1,0,1900
